Kid,KeyName,KeywordType,KeyResume
1,国赛,1,NULL
2,省赛,1,NULL
3,市赛,1,NULL
4,校赛,1,NULL
5,C++语言,2,NULL
6,嵌入式开发,2,NULL
7,较强英语能力,2,NULL
8,文档编写,2,NULL
9,较高综测分,3,NULL
10,较低综测分,3,NULL
11,普通综测分,3,NULL
12,非常抢手,4,NULL
13,抢手,4,NULL
14,普通,4,NULL
15,不抢手,4,NULL
16,计算机专业,5,NULL
17,光电信息专业,5,NULL
18,大数据专业,5,NULL
19,数量充裕,6,NULL
20,数量适中,6,NULL
21,数量紧张,6,NULL
22,适用于大一,7,NULL
23,适用于大二大三,7,NULL
24,适用于大四,7,NULL
25,适用于研究生,7,NULL
26,社交,8,NULL
27,开阔视野,8,NULL
28,增加实践能力,8,NULL
29,时间较长，需要耐心,9,NULL
30,时间适中可以考虑,9,NULL
31,时间较短，性价比高,9,NULL
32,学习,10,NULL
33,生活,10,NULL
34,"实习、工作 ",10,NULL
